,ds,Year,Month,y,Barnet Vale,Burnt Oak,Childs Hill,Colindale North,Colindale South,Cricklewood,East Barnet,East Finchley,Edgware,Edgwarebury,Finchley Church End,Friern Barnet,Garden Suburb,Golders Green,Hendon,High Barnet,Mill Hill,Totteridge and Woodside,Underhill,West Finchley,West Hendon,Whetstone,Woodhouse,Brunswick Park
128,2021-09,2021,9,178,6,9,12,5,7,5,7,9,7,7,12,10,5,7,16,5,11,7,2,11,8,4,3,3
129,2021-10,2021,10,213,3,11,13,7,5,7,14,10,14,6,13,3,9,11,16,6,13,9,2,9,4,6,10,12
130,2021-11,2021,11,219,8,9,15,5,7,18,8,8,15,5,16,11,4,7,14,4,17,2,6,11,10,2,8,9
131,2021-12,2021,12,199,8,8,12,8,6,9,3,6,12,6,12,9,9,7,30,5,7,9,1,7,6,7,6,6
132,2022-01,2022,1,243,5,6,14,18,12,4,9,9,16,1,19,12,7,16,19,7,19,2,1,8,11,10,9,9
133,2022-02,2022,2,202,3,17,7,11,5,8,3,13,16,3,16,10,4,7,11,1,12,13,1,10,7,7,8,9
134,2022-03,2022,3,218,7,11,16,8,14,4,3,8,22,6,11,9,7,8,32,5,6,6,1,10,7,4,3,10
135,2022-04,2022,4,170,7,2,17,7,8,5,2,4,10,4,10,9,4,8,17,7,10,8,3,5,6,10,4,3
136,2022-05,2022,5,218,7,13,25,10,12,10,7,17,7,3,14,7,4,11,18,9,8,4,4,2,7,7,5,7
137,2022-06,2022,6,194,11,11,14,10,7,13,6,9,13,5,7,8,4,9,15,5,5,5,5,9,6,6,7,4
138,2022-07,2022,7,190,6,6,15,10,12,4,5,7,12,4,9,12,9,16,13,2,14,6,2,4,8,6,5,3
139,2022-08,2022,8,168,3,9,17,7,7,8,2,6,9,2,10,8,3,12,6,10,5,7,0,11,11,6,3,6
140,2022-09,2022,9,188,4,3,17,11,8,13,6,12,14,2,9,9,6,7,9,6,15,2,2,7,7,8,3,8
141,2022-10,2022,10,245,4,8,29,10,6,10,10,4,18,1,18,13,5,12,28,7,11,10,2,10,8,4,8,9
142,2022-11,2022,11,242,5,14,27,8,2,13,5,3,9,5,10,7,11,15,18,11,8,15,3,12,11,11,15,4
143,2022-12,2022,12,228,9,14,18,9,7,16,11,6,10,6,18,4,7,6,12,1,15,19,2,7,9,10,7,5
